i,time_lagos,side,entry,sl,tp,atr,R,outcome
1,2025-07-28T01:35:00+01:00,buy,1.17576,1.17547,1.17664,0.0002,3.0,TP
2,2025-07-28T01:37:00+01:00,buy,1.17601,1.17571,1.17691,0.0002,-1.0,SL
3,2025-07-28T01:38:00+01:00,buy,1.17597,1.17567,1.17686,0.0002,-1.0,SL
4,2025-07-28T22:05:00+01:00,sell,1.15863,1.15888,1.15789,0.00017,-1.0,SL
5,2025-07-29T04:49:00+01:00,sell,1.15894,1.1591,1.15847,0.0001,3.0,TP
6,2025-07-29T04:51:00+01:00,sell,1.15885,1.159,1.1584,0.0001,-1.0,SL
7,2025-07-29T04:52:00+01:00,sell,1.15886,1.15902,1.15839,0.0001,-1.0,SL
8,2025-07-29T04:53:00+01:00,sell,1.15882,1.15898,1.15834,0.00011,-1.0,SL
9,2025-07-29T04:54:00+01:00,sell,1.15851,1.1587,1.15795,0.00012,-1.0,SL
10,2025-07-29T04:55:00+01:00,sell,1.15856,1.15876,1.15796,0.00013,-1.0,SL
11,2025-07-29T04:58:00+01:00,sell,1.15851,1.15871,1.15791,0.00013,-1.0,SL
12,2025-07-29T04:59:00+01:00,sell,1.15846,1.15866,1.15786,0.00013,-1.0,SL
13,2025-07-29T07:31:00+01:00,sell,1.15889,1.15902,1.1585,9e-05,3.0,TP
14,2025-07-29T07:32:00+01:00,sell,1.15865,1.1588,1.1582,0.0001,3.0,TP
15,2025-07-29T07:33:00+01:00,sell,1.15861,1.15876,1.15816,0.0001,3.0,TP
16,2025-07-29T07:34:00+01:00,sell,1.15864,1.15879,1.15819,0.0001,3.0,TP
17,2025-07-29T07:35:00+01:00,sell,1.15846,1.15862,1.15797,0.00011,3.0,TP
18,2025-07-29T07:36:00+01:00,sell,1.1582,1.15838,1.15765,0.00012,-1.0,SL
19,2025-07-29T07:37:00+01:00,sell,1.15831,1.15851,1.15772,0.00013,-1.0,SL
20,2025-07-29T07:38:00+01:00,sell,1.15816,1.15836,1.15756,0.00013,-1.0,SL
21,2025-07-29T08:11:00+01:00,sell,1.15805,1.15823,1.15751,0.00012,3.0,TP
22,2025-07-29T08:13:00+01:00,sell,1.15802,1.15819,1.15751,0.00011,3.0,TP
23,2025-07-29T08:16:00+01:00,sell,1.1578,1.15798,1.15726,0.00012,-1.0,SL
24,2025-07-29T08:17:00+01:00,sell,1.15758,1.15778,1.15699,0.00013,-1.0,SL
25,2025-07-29T08:18:00+01:00,sell,1.15758,1.15779,1.15694,0.00014,-1.0,SL
26,2025-07-29T08:19:00+01:00,sell,1.1576,1.15782,1.15695,0.00015,-1.0,SL
27,2025-07-29T10:26:00+01:00,sell,1.15769,1.15799,1.1568,0.0002,3.0,TP
28,2025-07-29T10:28:00+01:00,sell,1.1576,1.15791,1.15667,0.00021,3.0,TP
29,2025-07-29T10:29:00+01:00,sell,1.1573,1.15762,1.15634,0.00021,3.0,TP
30,2025-07-29T10:30:00+01:00,sell,1.15708,1.1574,1.15611,0.00022,3.0,TP
31,2025-07-29T10:31:00+01:00,sell,1.15706,1.15737,1.15612,0.00021,3.0,TP
32,2025-07-29T10:33:00+01:00,sell,1.15646,1.15681,1.1554,0.00023,3.0,TP
33,2025-07-29T10:34:00+01:00,sell,1.15584,1.15628,1.15451,0.00029,-1.0,SL
34,2025-07-29T10:35:00+01:00,sell,1.15571,1.15616,1.15437,0.0003,-1.0,SL
35,2025-07-29T10:50:00+01:00,sell,1.15548,1.15597,1.15402,0.00033,3.0,TP
36,2025-07-29T10:55:00+01:00,sell,1.15428,1.15489,1.15244,0.00041,-1.0,SL
37,2025-07-29T10:56:00+01:00,sell,1.15441,1.15502,1.15259,0.0004,-1.0,SL
38,2025-07-29T10:57:00+01:00,sell,1.15348,1.15415,1.15147,0.00045,-1.0,SL
39,2025-07-29T10:58:00+01:00,sell,1.15358,1.15424,1.1516,0.00044,-1.0,SL
40,2025-07-29T10:59:00+01:00,sell,1.15331,1.15396,1.15135,0.00044,-1.0,SL
41,2025-07-29T11:10:00+01:00,sell,1.15279,1.15353,1.15057,0.00049,-1.0,SL
42,2025-07-29T11:38:00+01:00,sell,1.15327,1.15372,1.15191,0.0003,-1.0,SL
43,2025-07-29T17:00:00+01:00,sell,1.15247,1.15285,1.15133,0.00025,-1.0,SL
44,2025-07-29T17:01:00+01:00,sell,1.15233,1.15272,1.15117,0.00026,-1.0,SL
45,2025-07-29T17:10:00+01:00,sell,1.15225,1.15264,1.15109,0.00026,-1.0,SL
46,2025-07-29T17:12:00+01:00,sell,1.15216,1.15255,1.15099,0.00026,-1.0,SL
47,2025-07-29T17:35:00+01:00,sell,1.15202,1.15239,1.1509,0.00025,-1.0,SL
48,2025-07-30T10:03:00+01:00,sell,1.15446,1.1547,1.15373,0.00016,-1.0,SL
49,2025-07-30T10:04:00+01:00,sell,1.15409,1.15437,1.15326,0.00018,-1.0,SL
50,2025-07-30T10:05:00+01:00,sell,1.15413,1.15441,1.15328,0.00019,-1.0,SL
51,2025-07-30T14:36:00+01:00,sell,1.15386,1.15407,1.15323,0.00014,3.0,TP
52,2025-07-30T14:37:00+01:00,sell,1.15361,1.15384,1.15291,0.00016,-1.0,SL
53,2025-07-30T14:38:00+01:00,sell,1.1533,1.15355,1.15254,0.00017,-1.0,SL
54,2025-07-30T15:03:00+01:00,sell,1.15375,1.15401,1.15296,0.00018,3.0,TP
55,2025-07-30T15:07:00+01:00,sell,1.15339,1.15365,1.15262,0.00017,3.0,TP
56,2025-07-30T15:08:00+01:00,sell,1.15304,1.15332,1.1522,0.00019,-1.0,SL
57,2025-07-30T15:09:00+01:00,sell,1.15311,1.15339,1.15226,0.00019,-1.0,SL
58,2025-07-30T15:33:00+01:00,sell,1.15269,1.15292,1.15201,0.00015,-1.0,SL
59,2025-07-30T15:35:00+01:00,sell,1.15245,1.15269,1.15174,0.00016,-1.0,SL
60,2025-07-30T15:36:00+01:00,sell,1.15247,1.15271,1.15174,0.00016,-1.0,SL
61,2025-07-30T15:38:00+01:00,sell,1.15217,1.15241,1.15144,0.00016,-1.0,SL
62,2025-07-30T16:10:00+01:00,sell,1.15244,1.15273,1.15157,0.00019,3.0,TP
63,2025-07-30T16:11:00+01:00,sell,1.15247,1.15275,1.15162,0.00019,3.0,TP
64,2025-07-30T16:13:00+01:00,sell,1.15199,1.1523,1.15107,0.0002,3.0,TP
65,2025-07-30T16:14:00+01:00,sell,1.1519,1.15221,1.15097,0.00021,3.0,TP
66,2025-07-30T16:15:00+01:00,sell,1.15156,1.1519,1.15053,0.00023,-1.0,SL
67,2025-07-30T16:19:00+01:00,sell,1.15143,1.15181,1.15028,0.00025,-1.0,SL
68,2025-07-30T16:30:00+01:00,sell,1.15088,1.15135,1.14946,0.00032,3.0,TP
69,2025-07-30T16:31:00+01:00,sell,1.15012,1.15065,1.14854,0.00035,3.0,TP
70,2025-07-30T16:32:00+01:00,sell,1.15008,1.15059,1.14854,0.00034,3.0,TP
71,2025-07-30T16:33:00+01:00,sell,1.1495,1.15006,1.14781,0.00038,3.0,TP
72,2025-07-30T16:34:00+01:00,sell,1.14927,1.14989,1.14741,0.00041,3.0,TP
73,2025-07-30T16:35:00+01:00,sell,1.14888,1.14956,1.14683,0.00046,3.0,TP
74,2025-07-30T16:36:00+01:00,sell,1.14858,1.14926,1.14653,0.00046,-1.0,SL
75,2025-07-30T16:55:00+01:00,sell,1.1477,1.14836,1.14572,0.00044,-1.0,SL
76,2025-07-30T16:56:00+01:00,sell,1.14761,1.14826,1.14565,0.00044,-1.0,SL
77,2025-07-30T16:57:00+01:00,sell,1.14704,1.14773,1.14496,0.00046,-1.0,SL
78,2025-07-30T16:58:00+01:00,sell,1.14696,1.14766,1.14485,0.00047,-1.0,SL
79,2025-07-30T17:13:00+01:00,sell,1.14622,1.14688,1.14425,0.00044,-1.0,SL
80,2025-07-30T22:49:00+01:00,sell,1.1441,1.14519,1.14082,0.00073,3.0,TP
81,2025-07-30T22:50:00+01:00,sell,1.14333,1.14443,1.14002,0.00074,0.0,timeout
82,2025-07-30T22:53:00+01:00,sell,1.14289,1.14401,1.13953,0.00075,0.0,timeout
83,2025-07-30T23:05:00+01:00,sell,1.14157,1.14258,1.13855,0.00067,-1.0,SL
84,2025-07-31T00:20:00+01:00,sell,1.14119,1.14155,1.14011,0.00024,3.0,TP
85,2025-07-31T00:23:00+01:00,sell,1.14051,1.14094,1.13921,0.00029,-1.0,SL
86,2025-07-31T00:56:00+01:00,sell,1.14022,1.1405,1.13937,0.00019,-1.0,SL
87,2025-07-31T00:57:00+01:00,sell,1.1402,1.14049,1.13934,0.00019,-1.0,SL
88,2025-07-31T00:59:00+01:00,sell,1.14012,1.14042,1.13923,0.0002,-1.0,SL
89,2025-07-31T14:24:00+01:00,sell,1.14318,1.14343,1.14242,0.00017,3.0,TP
90,2025-07-31T14:29:00+01:00,sell,1.14274,1.14301,1.14193,0.00018,-1.0,SL
91,2025-07-31T14:30:00+01:00,sell,1.14251,1.1428,1.14164,0.00019,-1.0,SL
92,2025-07-31T14:33:00+01:00,sell,1.14236,1.14265,1.1415,0.00019,-1.0,SL
93,2025-07-31T14:34:00+01:00,sell,1.14215,1.14245,1.14126,0.0002,-1.0,SL
94,2025-07-31T14:36:00+01:00,sell,1.14204,1.14235,1.1411,0.00021,-1.0,SL
95,2025-07-31T17:09:00+01:00,sell,1.14141,1.14197,1.13973,0.00037,-1.0,SL
96,2025-07-31T17:10:00+01:00,sell,1.14161,1.14217,1.13994,0.00037,-1.0,SL
97,2025-07-31T17:17:00+01:00,sell,1.14087,1.14143,1.13919,0.00037,-1.0,SL
98,2025-07-31T23:53:00+01:00,sell,1.14197,1.1422,1.14128,0.00015,3.0,TP
99,2025-07-31T23:54:00+01:00,sell,1.14182,1.14207,1.14108,0.00016,3.0,TP
100,2025-07-31T23:55:00+01:00,sell,1.14165,1.14191,1.14088,0.00017,-1.0,SL
101,2025-07-31T23:56:00+01:00,sell,1.14163,1.14191,1.1408,0.00018,3.0,TP
102,2025-07-31T23:57:00+01:00,sell,1.14135,1.14165,1.14046,0.0002,-1.0,SL
103,2025-07-31T23:58:00+01:00,sell,1.14123,1.14153,1.14033,0.0002,-1.0,SL
104,2025-08-01T05:46:00+01:00,sell,1.14077,1.14105,1.13994,0.00018,-1.0,SL
105,2025-08-01T05:50:00+01:00,sell,1.14052,1.14081,1.13966,0.00019,-1.0,SL
106,2025-08-01T12:44:00+01:00,sell,1.14112,1.14139,1.14031,0.00018,3.0,TP
107,2025-08-01T12:45:00+01:00,sell,1.14098,1.14125,1.14016,0.00018,3.0,TP
108,2025-08-01T12:48:00+01:00,sell,1.14084,1.14111,1.14002,0.00018,-1.0,SL
109,2025-08-01T12:49:00+01:00,sell,1.14056,1.14085,1.13969,0.00019,-1.0,SL
110,2025-08-01T12:50:00+01:00,sell,1.14064,1.14093,1.13977,0.00019,-1.0,SL
111,2025-08-01T13:16:00+01:00,sell,1.1407,1.1409,1.14009,0.00014,3.0,TP
112,2025-08-01T13:17:00+01:00,sell,1.14066,1.14086,1.14005,0.00013,3.0,TP
113,2025-08-01T13:20:00+01:00,sell,1.14057,1.14076,1.13999,0.00013,3.0,TP
114,2025-08-01T13:21:00+01:00,sell,1.14055,1.14074,1.13999,0.00012,3.0,TP
115,2025-08-01T13:22:00+01:00,sell,1.14026,1.14046,1.13965,0.00014,-1.0,SL
116,2025-08-01T13:23:00+01:00,sell,1.14031,1.14054,1.13963,0.00015,-1.0,SL
117,2025-08-01T13:25:00+01:00,sell,1.14018,1.14041,1.1395,0.00015,-1.0,SL
118,2025-08-01T13:45:00+01:00,sell,1.1399,1.14013,1.1392,0.00016,-1.0,SL
119,2025-08-01T13:46:00+01:00,sell,1.13956,1.13982,1.13879,0.00017,-1.0,SL
120,2025-08-01T13:47:00+01:00,sell,1.13971,1.13998,1.1389,0.00018,-1.0,SL
121,2025-08-01T13:48:00+01:00,sell,1.13963,1.1399,1.13883,0.00018,-1.0,SL
122,2025-08-01T13:49:00+01:00,sell,1.13931,1.1396,1.13845,0.00019,-1.0,SL
123,2025-08-01T13:50:00+01:00,sell,1.13931,1.13959,1.13848,0.00019,-1.0,SL
124,2025-08-04T05:00:00+01:00,sell,1.15558,1.15593,1.15452,0.00024,-1.0,SL
125,2025-08-04T11:18:00+01:00,sell,1.15633,1.15682,1.15486,0.00033,-1.0,SL
126,2025-08-04T11:19:00+01:00,sell,1.15608,1.15658,1.15458,0.00033,-1.0,SL
127,2025-08-04T11:20:00+01:00,sell,1.15618,1.15669,1.15466,0.00034,-1.0,SL
128,2025-08-04T11:23:00+01:00,sell,1.15589,1.15636,1.15448,0.00031,-1.0,SL
129,2025-08-04T11:30:00+01:00,sell,1.15564,1.15607,1.15436,0.00029,-1.0,SL
130,2025-08-04T11:32:00+01:00,sell,1.15557,1.15601,1.15426,0.00029,-1.0,SL
131,2025-08-04T11:41:00+01:00,sell,1.15529,1.15567,1.15414,0.00026,-1.0,SL
132,2025-08-04T11:42:00+01:00,sell,1.1553,1.15569,1.15412,0.00026,-1.0,SL
133,2025-08-06T05:17:00+01:00,sell,1.15685,1.15704,1.15628,0.00013,-1.0,SL
134,2025-08-06T05:21:00+01:00,sell,1.15669,1.15687,1.15616,0.00012,-1.0,SL
135,2025-08-06T05:25:00+01:00,sell,1.15665,1.15684,1.15609,0.00013,-1.0,SL
136,2025-08-06T05:26:00+01:00,sell,1.15655,1.15674,1.15597,0.00013,-1.0,SL
137,2025-08-06T05:27:00+01:00,sell,1.15651,1.1567,1.15594,0.00013,-1.0,SL
138,2025-08-06T17:51:00+01:00,buy,1.16275,1.1624,1.16379,0.00023,-1.0,SL
139,2025-08-06T17:55:00+01:00,buy,1.16306,1.1627,1.16414,0.00024,-1.0,SL
140,2025-08-06T17:58:00+01:00,buy,1.16332,1.16293,1.16448,0.00026,-1.0,SL
141,2025-08-06T17:59:00+01:00,buy,1.16353,1.16314,1.1647,0.00026,-1.0,SL
142,2025-08-06T19:06:00+01:00,buy,1.16337,1.16295,1.16462,0.00028,-1.0,SL
143,2025-08-06T21:33:00+01:00,buy,1.16513,1.16487,1.16592,0.00018,-1.0,SL
144,2025-08-06T21:36:00+01:00,buy,1.16523,1.16498,1.16599,0.00017,-1.0,SL
145,2025-08-06T21:38:00+01:00,buy,1.16528,1.16503,1.16603,0.00017,-1.0,SL
146,2025-08-06T22:08:00+01:00,buy,1.16552,1.16528,1.16623,0.00016,-1.0,SL
147,2025-08-06T22:10:00+01:00,buy,1.16573,1.16549,1.16645,0.00016,-1.0,SL
148,2025-08-06T22:26:00+01:00,buy,1.16586,1.16562,1.16659,0.00016,3.0,TP
149,2025-08-06T22:27:00+01:00,buy,1.16585,1.16562,1.16655,0.00015,3.0,TP
150,2025-08-06T22:29:00+01:00,buy,1.16603,1.1658,1.16672,0.00015,-1.0,SL
151,2025-08-06T22:31:00+01:00,buy,1.16601,1.16577,1.16674,0.00016,3.0,TP
152,2025-08-06T22:33:00+01:00,buy,1.16628,1.16603,1.16703,0.00017,-1.0,SL
153,2025-08-06T22:34:00+01:00,buy,1.16624,1.166,1.16697,0.00016,-1.0,SL
154,2025-08-06T22:35:00+01:00,buy,1.16629,1.16605,1.16701,0.00016,-1.0,SL
155,2025-08-06T22:41:00+01:00,buy,1.16658,1.16636,1.16725,0.00015,-1.0,SL
156,2025-08-06T22:42:00+01:00,buy,1.16668,1.16645,1.16736,0.00015,-1.0,SL
157,2025-08-06T22:43:00+01:00,buy,1.16673,1.1665,1.16743,0.00016,-1.0,SL
158,2025-08-07T08:02:00+01:00,buy,1.16668,1.16651,1.16719,0.00011,3.0,TP
159,2025-08-07T08:03:00+01:00,buy,1.1667,1.16653,1.1672,0.00011,3.0,TP
160,2025-08-07T08:11:00+01:00,buy,1.16713,1.16696,1.16763,0.00011,-1.0,SL
161,2025-08-07T08:12:00+01:00,buy,1.16715,1.16698,1.16765,0.00011,-1.0,SL
162,2025-08-07T08:26:00+01:00,buy,1.16734,1.16716,1.16789,0.00012,-1.0,SL
163,2025-08-07T08:33:00+01:00,buy,1.16749,1.16728,1.16811,0.00014,-1.0,SL
164,2025-08-07T08:34:00+01:00,buy,1.16742,1.16721,1.16805,0.00014,-1.0,SL
165,2025-08-07T11:37:00+01:00,buy,1.16841,1.16811,1.1693,0.0002,-1.0,SL
166,2025-08-07T11:38:00+01:00,buy,1.16854,1.16825,1.16942,0.0002,-1.0,SL
167,2025-08-07T11:39:00+01:00,buy,1.16846,1.16817,1.16932,0.00019,-1.0,SL
168,2025-08-07T11:47:00+01:00,buy,1.16853,1.16824,1.16941,0.00019,3.0,TP
169,2025-08-07T11:49:00+01:00,buy,1.16866,1.16837,1.16954,0.00019,3.0,TP
170,2025-08-07T11:50:00+01:00,buy,1.16878,1.16848,1.16967,0.0002,3.0,TP
171,2025-08-07T11:51:00+01:00,buy,1.16891,1.16862,1.16979,0.0002,3.0,TP
172,2025-08-07T12:04:00+01:00,buy,1.16972,1.16937,1.17077,0.00023,-1.0,SL
173,2025-08-07T23:31:00+01:00,buy,1.16377,1.16337,1.16497,0.00027,3.0,TP
174,2025-08-07T23:32:00+01:00,buy,1.16376,1.16333,1.16505,0.00029,3.0,TP
175,2025-08-07T23:33:00+01:00,buy,1.16382,1.16338,1.16515,0.0003,3.0,TP
176,2025-08-07T23:34:00+01:00,buy,1.16415,1.16369,1.16553,0.00031,3.0,TP
177,2025-08-07T23:35:00+01:00,buy,1.16438,1.16392,1.16576,0.00031,3.0,TP
178,2025-08-07T23:37:00+01:00,buy,1.16475,1.16426,1.16622,0.00033,3.0,TP
179,2025-08-07T23:44:00+01:00,buy,1.16541,1.16492,1.16688,0.00033,-1.0,SL
180,2025-08-08T00:07:00+01:00,buy,1.1662,1.16579,1.16742,0.00027,-1.0,SL
181,2025-08-08T00:20:00+01:00,buy,1.16672,1.16639,1.1677,0.00022,-1.0,SL
182,2025-08-08T00:29:00+01:00,buy,1.16701,1.16675,1.16779,0.00017,-1.0,SL
183,2025-08-08T00:46:00+01:00,buy,1.1669,1.16666,1.16763,0.00016,-1.0,SL
184,2025-08-08T02:37:00+01:00,buy,1.1672,1.16705,1.16764,0.0001,-1.0,SL
185,2025-08-08T02:38:00+01:00,buy,1.16719,1.16704,1.16763,0.0001,-1.0,SL
186,2025-08-08T02:39:00+01:00,buy,1.16731,1.16716,1.16776,0.0001,-1.0,SL
187,2025-08-08T02:40:00+01:00,buy,1.16734,1.16719,1.16779,0.0001,-1.0,SL
188,2025-08-08T03:11:00+01:00,buy,1.16742,1.16726,1.16789,0.0001,-1.0,SL
189,2025-08-08T03:12:00+01:00,buy,1.16742,1.16726,1.1679,0.00011,-1.0,SL
190,2025-08-08T03:16:00+01:00,buy,1.16752,1.16735,1.16804,0.00012,-1.0,SL
191,2025-08-08T03:25:00+01:00,buy,1.16768,1.16753,1.16814,0.0001,-1.0,SL
192,2025-08-08T03:26:00+01:00,buy,1.16774,1.16759,1.1682,0.0001,-1.0,SL
193,2025-08-08T18:06:00+01:00,buy,1.16563,1.16529,1.16665,0.00023,-1.0,SL
194,2025-08-08T18:08:00+01:00,buy,1.16583,1.16548,1.16688,0.00023,-1.0,SL
195,2025-08-08T18:23:00+01:00,buy,1.16613,1.1658,1.16711,0.00022,-1.0,SL
196,2025-08-08T19:16:00+01:00,buy,1.16622,1.16596,1.16701,0.00017,-1.0,SL
197,2025-08-12T00:21:00+01:00,buy,1.1611,1.16098,1.16145,8e-05,3.0,TP
198,2025-08-12T00:23:00+01:00,buy,1.16126,1.16113,1.16164,8e-05,3.0,TP
199,2025-08-12T00:25:00+01:00,buy,1.16151,1.16136,1.16195,0.0001,-1.0,SL
200,2025-08-12T00:26:00+01:00,buy,1.16154,1.16138,1.16201,0.0001,-1.0,SL
201,2025-08-12T05:34:00+01:00,buy,1.16172,1.16154,1.16225,0.00012,3.0,TP
202,2025-08-12T05:35:00+01:00,buy,1.16189,1.1617,1.16246,0.00013,3.0,TP
203,2025-08-12T05:38:00+01:00,buy,1.16221,1.16201,1.1628,0.00013,-1.0,SL
204,2025-08-12T05:39:00+01:00,buy,1.16224,1.16204,1.16283,0.00013,-1.0,SL
205,2025-08-12T05:40:00+01:00,buy,1.16222,1.16202,1.16283,0.00014,-1.0,SL
206,2025-08-12T05:43:00+01:00,buy,1.16246,1.16226,1.16306,0.00013,-1.0,SL
207,2025-08-12T08:51:00+01:00,buy,1.16254,1.16238,1.16302,0.00011,-1.0,SL
208,2025-08-12T08:52:00+01:00,buy,1.16258,1.16242,1.16305,0.0001,-1.0,SL
209,2025-08-12T08:59:00+01:00,buy,1.16271,1.16257,1.16313,9e-05,-1.0,SL
210,2025-08-12T09:00:00+01:00,buy,1.16278,1.16264,1.16321,0.0001,-1.0,SL
211,2025-08-12T16:30:00+01:00,buy,1.16271,1.16192,1.16508,0.00053,3.0,TP
212,2025-08-12T16:31:00+01:00,buy,1.16405,1.16312,1.16685,0.00062,-1.0,SL
213,2025-08-12T16:32:00+01:00,buy,1.16355,1.16254,1.16657,0.00067,-1.0,SL
214,2025-08-12T16:34:00+01:00,buy,1.16403,1.16292,1.16735,0.00074,-1.0,SL
