i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
484,2025-08-28T08:33:00+01:00,sell,1.16405,1.16416,1.16371,8e-05,-1.0,SL,266.15,2.66,-2.66,263.48
485,2025-08-28T09:31:00+01:00,sell,1.16378,1.16389,1.16346,7e-05,-1.0,SL,263.48,2.63,-2.63,260.85
486,2025-08-28T09:32:00+01:00,sell,1.1637,1.16381,1.16337,7e-05,-1.0,SL,260.85,2.61,-2.61,258.24
487,2025-08-28T09:33:00+01:00,sell,1.16368,1.16379,1.16334,7e-05,-1.0,SL,258.24,2.58,-2.58,255.66
488,2025-08-28T09:35:00+01:00,sell,1.16371,1.16382,1.16337,7e-05,-1.0,SL,255.66,2.56,-2.56,253.1
489,2025-08-28T09:38:00+01:00,sell,1.16364,1.16376,1.16329,8e-05,-1.0,SL,253.1,2.53,-2.53,250.57
490,2025-08-28T09:42:00+01:00,sell,1.16357,1.16368,1.16323,8e-05,-1.0,SL,250.57,2.51,-2.51,248.07
491,2025-08-29T11:54:00+01:00,buy,1.16746,1.16715,1.16838,0.00021,-1.0,SL,248.07,2.48,-2.48,245.58
492,2025-08-29T11:55:00+01:00,buy,1.16757,1.16726,1.16851,0.00021,-1.0,SL,245.58,2.46,-2.46,243.13
493,2025-08-29T12:02:00+01:00,buy,1.16775,1.16744,1.16867,0.0002,-1.0,SL,243.13,2.43,-2.43,240.7
494,2025-08-29T12:30:00+01:00,buy,1.16812,1.16786,1.16889,0.00017,3.0,TP,240.7,2.41,7.22,247.92
495,2025-08-29T12:31:00+01:00,buy,1.16807,1.16781,1.16884,0.00017,3.0,TP,247.92,2.48,7.44,255.36
496,2025-08-29T12:32:00+01:00,buy,1.16845,1.16816,1.16931,0.00019,-1.0,SL,255.36,2.55,-2.55,252.8
497,2025-08-29T12:33:00+01:00,buy,1.16874,1.16843,1.16967,0.00021,-1.0,SL,252.8,2.53,-2.53,250.27
498,2025-08-29T18:16:00+01:00,buy,1.1684,1.16794,1.16979,0.00031,3.0,TP,250.27,2.5,7.51,257.78
499,2025-08-29T18:32:00+01:00,buy,1.16966,1.16923,1.17095,0.00029,-1.0,SL,257.78,2.58,-2.58,255.2
500,2025-08-29T18:33:00+01:00,buy,1.16955,1.16912,1.17083,0.00029,-1.0,SL,255.2,2.55,-2.55,252.65
501,2025-08-29T18:34:00+01:00,buy,1.16975,1.16932,1.17104,0.00029,-1.0,SL,252.65,2.53,-2.53,250.13
502,2025-08-29T18:57:00+01:00,buy,1.1702,1.16972,1.17164,0.00032,-1.0,SL,250.13,2.5,-2.5,247.62
503,2025-08-29T18:58:00+01:00,buy,1.1702,1.16972,1.17163,0.00032,-1.0,SL,247.62,2.48,-2.48,245.15
504,2025-08-29T18:59:00+01:00,buy,1.17039,1.16992,1.1718,0.00031,-1.0,SL,245.15,2.45,-2.45,242.7
505,2025-08-29T19:00:00+01:00,buy,1.17037,1.16992,1.17172,0.0003,-1.0,SL,242.7,2.43,-2.43,240.27
506,2025-08-29T19:01:00+01:00,buy,1.17057,1.17011,1.17194,0.0003,-1.0,SL,240.27,2.4,-2.4,237.87
507,2025-09-01T06:00:00+01:00,buy,1.16962,1.16943,1.1702,0.00013,3.0,TP,237.87,2.38,7.14,245.0
508,2025-09-01T06:01:00+01:00,buy,1.16962,1.16944,1.17017,0.00012,3.0,TP,245.0,2.45,7.35,252.35
509,2025-09-01T06:04:00+01:00,buy,1.16972,1.16954,1.17025,0.00012,3.0,TP,252.35,2.52,7.57,259.92
510,2025-09-01T06:06:00+01:00,buy,1.16999,1.1698,1.17057,0.00013,3.0,TP,259.92,2.6,7.8,267.72
511,2025-09-01T06:07:00+01:00,buy,1.17007,1.16987,1.17066,0.00013,3.0,TP,267.72,2.68,8.03,275.75
512,2025-09-01T06:08:00+01:00,buy,1.17015,1.16995,1.17075,0.00013,-1.0,SL,275.75,2.76,-2.76,273.0
513,2025-09-01T06:09:00+01:00,buy,1.17017,1.16997,1.17077,0.00013,-1.0,SL,273.0,2.73,-2.73,270.27
514,2025-09-01T06:52:00+01:00,buy,1.17078,1.17061,1.17129,0.00011,3.0,TP,270.27,2.7,8.11,278.37
515,2025-09-01T06:53:00+01:00,buy,1.17083,1.17066,1.17134,0.00011,3.0,TP,278.37,2.78,8.35,286.73
516,2025-09-01T06:56:00+01:00,buy,1.17095,1.17078,1.17145,0.00011,-1.0,SL,286.73,2.87,-2.87,283.86
517,2025-09-01T06:57:00+01:00,buy,1.17111,1.17093,1.17166,0.00012,-1.0,SL,283.86,2.84,-2.84,281.02
518,2025-09-01T06:58:00+01:00,buy,1.17123,1.17104,1.17181,0.00013,-1.0,SL,281.02,2.81,-2.81,278.21
519,2025-09-01T07:01:00+01:00,buy,1.17134,1.17114,1.17193,0.00013,-1.0,SL,278.21,2.78,-2.78,275.43
520,2025-09-01T10:01:00+01:00,buy,1.1715,1.17134,1.17199,0.00011,3.0,TP,275.43,2.75,8.26,283.69
521,2025-09-01T10:03:00+01:00,buy,1.17156,1.17137,1.17212,0.00012,3.0,TP,283.69,2.84,8.51,292.2
522,2025-09-01T10:04:00+01:00,buy,1.17162,1.17144,1.17217,0.00012,3.0,TP,292.2,2.92,8.77,300.97
523,2025-09-01T10:05:00+01:00,buy,1.17229,1.17204,1.17303,0.00016,-1.0,SL,300.97,3.01,-3.01,297.96
524,2025-09-01T10:06:00+01:00,buy,1.17217,1.17192,1.17292,0.00017,-1.0,SL,297.96,2.98,-2.98,294.98
525,2025-09-01T10:07:00+01:00,buy,1.17234,1.17209,1.1731,0.00017,-1.0,SL,294.98,2.95,-2.95,292.03
526,2025-09-01T10:30:00+01:00,buy,1.17233,1.1721,1.17302,0.00015,-1.0,SL,292.03,2.92,-2.92,289.11
527,2025-09-01T10:34:00+01:00,buy,1.17253,1.17226,1.17333,0.00018,-1.0,SL,289.11,2.89,-2.89,286.22
528,2025-09-01T10:35:00+01:00,buy,1.17254,1.17228,1.17333,0.00017,-1.0,SL,286.22,2.86,-2.86,283.35
529,2025-09-01T10:36:00+01:00,buy,1.17273,1.17246,1.17353,0.00018,-1.0,SL,283.35,2.83,-2.83,280.52
530,2025-09-01T10:37:00+01:00,buy,1.17298,1.1727,1.17382,0.00019,-1.0,SL,280.52,2.81,-2.81,277.72
531,2025-09-01T10:38:00+01:00,buy,1.17298,1.17269,1.17386,0.0002,-1.0,SL,277.72,2.78,-2.78,274.94
532,2025-09-01T10:39:00+01:00,buy,1.17308,1.17279,1.17394,0.00019,-1.0,SL,274.94,2.75,-2.75,272.19
533,2025-09-01T12:45:00+01:00,buy,1.17274,1.17249,1.1735,0.00017,3.0,TP,272.19,2.72,8.17,280.35
534,2025-09-01T12:47:00+01:00,buy,1.17287,1.17263,1.1736,0.00016,-1.0,SL,280.35,2.8,-2.8,277.55
535,2025-09-01T12:49:00+01:00,buy,1.17311,1.17287,1.17383,0.00016,-1.0,SL,277.55,2.78,-2.78,274.78
536,2025-09-01T12:50:00+01:00,buy,1.17325,1.17301,1.17397,0.00016,-1.0,SL,274.78,2.75,-2.75,272.03
537,2025-09-01T12:51:00+01:00,buy,1.17346,1.1732,1.17425,0.00018,-1.0,SL,272.03,2.72,-2.72,269.31
538,2025-09-01T23:45:00+01:00,buy,1.17117,1.17109,1.1714,5e-05,-1.0,SL,269.31,2.69,-2.69,266.61
539,2025-09-01T23:54:00+01:00,buy,1.17132,1.17124,1.17155,5e-05,-1.0,SL,266.61,2.67,-2.67,263.95
540,2025-09-01T23:55:00+01:00,buy,1.17131,1.17124,1.17153,5e-05,-1.0,SL,263.95,2.64,-2.64,261.31
541,2025-09-02T03:38:00+01:00,buy,1.17141,1.17132,1.17167,6e-05,3.0,TP,261.31,2.61,7.84,269.15
542,2025-09-02T03:44:00+01:00,buy,1.17148,1.17139,1.17175,6e-05,3.0,TP,269.15,2.69,8.07,277.22
543,2025-09-02T03:45:00+01:00,buy,1.17158,1.17148,1.17187,6e-05,-1.0,SL,277.22,2.77,-2.77,274.45
544,2025-09-02T03:46:00+01:00,buy,1.17156,1.17146,1.17185,6e-05,-1.0,SL,274.45,2.74,-2.74,271.71
545,2025-09-02T03:48:00+01:00,buy,1.17169,1.17159,1.172,7e-05,-1.0,SL,271.71,2.72,-2.72,268.99
546,2025-09-02T03:49:00+01:00,buy,1.17174,1.17164,1.17205,7e-05,-1.0,SL,268.99,2.69,-2.69,266.3
547,2025-09-02T18:00:00+01:00,buy,1.16593,1.16539,1.16755,0.00036,3.0,TP,266.3,2.66,7.99,274.29
548,2025-09-02T18:01:00+01:00,buy,1.16611,1.16557,1.16773,0.00036,3.0,TP,274.29,2.74,8.23,282.52
549,2025-09-02T18:02:00+01:00,buy,1.16609,1.16556,1.16768,0.00035,3.0,TP,282.52,2.83,8.48,290.99
550,2025-09-02T18:03:00+01:00,buy,1.16636,1.16582,1.16798,0.00036,3.0,TP,290.99,2.91,8.73,299.72
551,2025-09-02T18:04:00+01:00,buy,1.16645,1.16592,1.16804,0.00035,3.0,TP,299.72,3.0,8.99,308.71
552,2025-09-02T18:05:00+01:00,buy,1.16659,1.16605,1.1682,0.00036,3.0,TP,308.71,3.09,9.26,317.97
553,2025-09-02T18:07:00+01:00,buy,1.16722,1.16665,1.16893,0.00038,-1.0,SL,317.97,3.18,-3.18,314.79
554,2025-09-02T18:09:00+01:00,buy,1.16747,1.16689,1.16922,0.00039,-1.0,SL,314.79,3.15,-3.15,311.65
555,2025-09-03T08:00:00+01:00,sell,1.1623,1.1624,1.16199,7e-05,-1.0,SL,311.65,3.12,-3.12,308.53
556,2025-09-03T08:02:00+01:00,sell,1.16219,1.1623,1.16186,7e-05,-1.0,SL,308.53,3.09,-3.09,305.45
557,2025-09-03T11:16:00+01:00,sell,1.16255,1.16282,1.16173,0.00018,3.0,TP,305.45,3.05,9.16,314.61
558,2025-09-03T11:17:00+01:00,sell,1.16233,1.16262,1.16145,0.0002,3.0,TP,314.61,3.15,9.44,324.05
559,2025-09-03T11:18:00+01:00,sell,1.16202,1.16235,1.16104,0.00022,3.0,TP,324.05,3.24,9.72,333.77
560,2025-09-03T11:19:00+01:00,sell,1.16163,1.16198,1.16058,0.00023,-1.0,SL,333.77,3.34,-3.34,330.43
561,2025-09-03T11:20:00+01:00,sell,1.16095,1.16136,1.15971,0.00028,-1.0,SL,330.43,3.3,-3.3,327.13
562,2025-09-03T11:21:00+01:00,sell,1.16094,1.16135,1.15972,0.00027,-1.0,SL,327.13,3.27,-3.27,323.85
563,2025-09-05T14:22:00+01:00,buy,1.16906,1.16887,1.16964,0.00013,3.0,TP,323.85,3.24,9.72,333.57
564,2025-09-05T14:23:00+01:00,buy,1.16928,1.16907,1.16991,0.00014,-1.0,SL,333.57,3.34,-3.34,330.23
565,2025-09-05T14:24:00+01:00,buy,1.16929,1.16909,1.1699,0.00014,-1.0,SL,330.23,3.3,-3.3,326.93
566,2025-09-05T14:25:00+01:00,buy,1.1694,1.1692,1.17001,0.00014,-1.0,SL,326.93,3.27,-3.27,323.66
567,2025-09-05T14:28:00+01:00,buy,1.16951,1.16931,1.17012,0.00013,-1.0,SL,323.66,3.24,-3.24,320.43
568,2025-09-05T14:49:00+01:00,buy,1.16962,1.16943,1.1702,0.00013,-1.0,SL,320.43,3.2,-3.2,317.22
569,2025-09-05T16:04:00+01:00,buy,1.16942,1.16906,1.17051,0.00024,3.0,TP,317.22,3.17,9.52,326.74
570,2025-09-05T16:08:00+01:00,buy,1.16994,1.16955,1.17112,0.00026,-1.0,SL,326.74,3.27,-3.27,323.47
571,2025-09-05T16:30:00+01:00,buy,1.17437,1.17344,1.17715,0.00062,-1.0,SL,323.47,3.23,-3.23,320.24
572,2025-09-05T16:31:00+01:00,buy,1.17322,1.1722,1.17629,0.00068,-1.0,SL,320.24,3.2,-3.2,317.03
573,2025-09-05T16:32:00+01:00,buy,1.17419,1.17307,1.17756,0.00075,-1.0,SL,317.03,3.17,-3.17,313.86
574,2025-09-05T16:33:00+01:00,buy,1.17407,1.17298,1.17734,0.00073,-1.0,SL,313.86,3.14,-3.14,310.73
575,2025-09-08T09:20:00+01:00,buy,1.17185,1.17166,1.17241,0.00012,-1.0,SL,310.73,3.11,-3.11,307.62
576,2025-09-08T09:31:00+01:00,buy,1.17199,1.17182,1.17251,0.00012,-1.0,SL,307.62,3.08,-3.08,304.54
577,2025-09-08T10:12:00+01:00,buy,1.17207,1.1718,1.17287,0.00018,-1.0,SL,304.54,3.05,-3.05,301.5
578,2025-09-08T10:13:00+01:00,buy,1.1722,1.17193,1.173,0.00018,-1.0,SL,301.5,3.01,-3.01,298.48
579,2025-09-08T10:14:00+01:00,buy,1.17231,1.17205,1.1731,0.00018,-1.0,SL,298.48,2.98,-2.98,295.5
580,2025-09-08T10:32:00+01:00,buy,1.17219,1.17186,1.17318,0.00022,-1.0,SL,295.5,2.95,-2.95,292.54
581,2025-09-08T10:52:00+01:00,buy,1.17266,1.17231,1.17372,0.00024,-1.0,SL,292.54,2.93,-2.93,289.62
582,2025-09-08T10:53:00+01:00,buy,1.17256,1.17221,1.1736,0.00023,-1.0,SL,289.62,2.9,-2.9,286.72
583,2025-09-08T11:02:00+01:00,buy,1.17287,1.17253,1.1739,0.00023,-1.0,SL,286.72,2.87,-2.87,283.85
584,2025-09-08T11:15:00+01:00,buy,1.17298,1.17263,1.17402,0.00023,-1.0,SL,283.85,2.84,-2.84,281.01
585,2025-09-08T11:21:00+01:00,buy,1.17282,1.17247,1.17386,0.00023,-1.0,SL,281.01,2.81,-2.81,278.2
586,2025-09-08T11:35:00+01:00,buy,1.17304,1.17274,1.17395,0.0002,3.0,TP,278.2,2.78,8.35,286.55
587,2025-09-08T11:36:00+01:00,buy,1.17308,1.17278,1.17397,0.0002,-1.0,SL,286.55,2.87,-2.87,283.69
588,2025-09-08T11:45:00+01:00,buy,1.17325,1.17295,1.17415,0.0002,-1.0,SL,283.69,2.84,-2.84,280.85
589,2025-09-08T12:00:00+01:00,buy,1.1737,1.17338,1.17465,0.00021,-1.0,SL,280.85,2.81,-2.81,278.04
590,2025-09-08T12:01:00+01:00,buy,1.17377,1.17345,1.17473,0.00021,-1.0,SL,278.04,2.78,-2.78,275.26
591,2025-09-08T12:02:00+01:00,buy,1.17381,1.1735,1.17475,0.00021,-1.0,SL,275.26,2.75,-2.75,272.51
592,2025-09-08T12:03:00+01:00,buy,1.17407,1.17374,1.17507,0.00022,-1.0,SL,272.51,2.73,-2.73,269.78
593,2025-09-08T12:04:00+01:00,buy,1.17418,1.17385,1.17518,0.00022,-1.0,SL,269.78,2.7,-2.7,267.08
594,2025-09-08T17:09:00+01:00,buy,1.17457,1.1742,1.17567,0.00024,-1.0,SL,267.08,2.67,-2.67,264.41
595,2025-09-08T17:10:00+01:00,buy,1.17466,1.1743,1.17574,0.00024,-1.0,SL,264.41,2.64,-2.64,261.77
596,2025-09-08T17:11:00+01:00,buy,1.17481,1.17445,1.17588,0.00024,-1.0,SL,261.77,2.62,-2.62,259.15
597,2025-09-08T17:13:00+01:00,buy,1.1752,1.17483,1.17631,0.00025,-1.0,SL,259.15,2.59,-2.59,256.56
598,2025-09-08T17:36:00+01:00,buy,1.17544,1.17507,1.17656,0.00025,-1.0,SL,256.56,2.57,-2.57,253.99
599,2025-09-08T22:51:00+01:00,buy,1.1756,1.1754,1.17619,0.00013,3.0,TP,253.99,2.54,7.62,261.61
600,2025-09-08T22:54:00+01:00,buy,1.17559,1.17538,1.17621,0.00014,3.0,TP,261.61,2.62,7.85,269.46
601,2025-09-08T22:55:00+01:00,buy,1.17587,1.17564,1.17655,0.00015,3.0,TP,269.46,2.69,8.08,277.55
602,2025-09-08T22:56:00+01:00,buy,1.17608,1.17582,1.17685,0.00017,-1.0,SL,277.55,2.78,-2.78,274.77
603,2025-09-08T22:57:00+01:00,buy,1.17613,1.17586,1.17694,0.00018,-1.0,SL,274.77,2.75,-2.75,272.02
604,2025-09-09T03:00:00+01:00,buy,1.1764,1.17626,1.17683,0.0001,3.0,TP,272.02,2.72,8.16,280.18
605,2025-09-09T03:01:00+01:00,buy,1.17646,1.17632,1.17689,0.0001,3.0,TP,280.18,2.8,8.41,288.59
606,2025-09-09T03:02:00+01:00,buy,1.17642,1.17628,1.17685,0.0001,3.0,TP,288.59,2.89,8.66,297.25
607,2025-09-09T03:03:00+01:00,buy,1.17649,1.17635,1.17691,9e-05,3.0,TP,297.25,2.97,8.92,306.16
608,2025-09-09T03:07:00+01:00,buy,1.17653,1.1764,1.17692,9e-05,3.0,TP,306.16,3.06,9.18,315.35
609,2025-09-09T03:11:00+01:00,buy,1.17669,1.17655,1.17711,9e-05,3.0,TP,315.35,3.15,9.46,324.81
610,2025-09-09T03:12:00+01:00,buy,1.17681,1.17666,1.17727,0.0001,-1.0,SL,324.81,3.25,-3.25,321.56
611,2025-09-09T03:13:00+01:00,buy,1.17685,1.17669,1.17733,0.00011,-1.0,SL,321.56,3.22,-3.22,318.35
612,2025-09-09T03:19:00+01:00,buy,1.1769,1.17674,1.17737,0.0001,-1.0,SL,318.35,3.18,-3.18,315.16
613,2025-09-09T03:20:00+01:00,buy,1.17704,1.17687,1.17754,0.00011,-1.0,SL,315.16,3.15,-3.15,312.01
614,2025-09-09T03:22:00+01:00,buy,1.17712,1.17694,1.17765,0.00012,-1.0,SL,312.01,3.12,-3.12,308.89
615,2025-09-09T03:23:00+01:00,buy,1.17724,1.17705,1.1778,0.00012,-1.0,SL,308.89,3.09,-3.09,305.8
616,2025-09-09T03:24:00+01:00,buy,1.17725,1.17707,1.17779,0.00012,-1.0,SL,305.8,3.06,-3.06,302.74
617,2025-09-09T05:48:00+01:00,buy,1.17724,1.17705,1.1778,0.00012,-1.0,SL,302.74,3.03,-3.03,299.72
618,2025-09-09T05:49:00+01:00,buy,1.17732,1.17713,1.17788,0.00012,-1.0,SL,299.72,3.0,-3.0,296.72
619,2025-09-09T05:53:00+01:00,buy,1.1777,1.1775,1.1783,0.00013,-1.0,SL,296.72,2.97,-2.97,293.75
620,2025-09-09T05:54:00+01:00,buy,1.17761,1.17741,1.17822,0.00013,-1.0,SL,293.75,2.94,-2.94,290.81
621,2025-09-09T05:55:00+01:00,buy,1.17768,1.17748,1.17829,0.00014,-1.0,SL,290.81,2.91,-2.91,287.91
622,2025-09-09T09:53:00+01:00,buy,1.17779,1.17759,1.1784,0.00014,-1.0,SL,287.91,2.88,-2.88,285.03
623,2025-09-09T09:54:00+01:00,buy,1.17793,1.17771,1.17858,0.00015,-1.0,SL,285.03,2.85,-2.85,282.18
624,2025-09-09T09:55:00+01:00,buy,1.17794,1.17772,1.1786,0.00015,-1.0,SL,282.18,2.82,-2.82,279.36
625,2025-09-10T08:16:00+01:00,buy,1.17108,1.17094,1.17149,9e-05,-1.0,SL,279.36,2.79,-2.79,276.56
626,2025-09-10T08:25:00+01:00,buy,1.1712,1.17106,1.17162,9e-05,-1.0,SL,276.56,2.77,-2.77,273.8
627,2025-09-10T08:48:00+01:00,buy,1.17118,1.17104,1.17161,0.0001,-1.0,SL,273.8,2.74,-2.74,271.06
628,2025-09-10T08:51:00+01:00,buy,1.17125,1.1711,1.1717,0.0001,-1.0,SL,271.06,2.71,-2.71,268.35
629,2025-09-10T08:52:00+01:00,buy,1.17125,1.1711,1.1717,0.0001,-1.0,SL,268.35,2.68,-2.68,265.66
630,2025-09-10T08:53:00+01:00,buy,1.17134,1.17118,1.17181,0.0001,-1.0,SL,265.66,2.66,-2.66,263.01
631,2025-09-10T08:58:00+01:00,buy,1.17143,1.17128,1.17187,0.0001,-1.0,SL,263.01,2.63,-2.63,260.38
632,2025-09-10T08:59:00+01:00,buy,1.17153,1.17138,1.17199,0.0001,-1.0,SL,260.38,2.6,-2.6,257.77
633,2025-09-10T09:06:00+01:00,buy,1.17152,1.17133,1.17209,0.00013,-1.0,SL,257.77,2.58,-2.58,255.2
634,2025-09-10T09:08:00+01:00,buy,1.17153,1.17134,1.17211,0.00013,-1.0,SL,255.2,2.55,-2.55,252.64
635,2025-09-11T16:31:00+01:00,buy,1.17138,1.17021,1.17488,0.00078,-1.0,SL,252.64,2.53,-2.53,250.12
636,2025-09-11T16:32:00+01:00,buy,1.17107,1.16987,1.17466,0.0008,-1.0,SL,250.12,2.5,-2.5,247.62
637,2025-09-11T16:33:00+01:00,buy,1.17106,1.16986,1.17467,0.0008,-1.0,SL,247.62,2.48,-2.48,245.14
638,2025-09-11T16:34:00+01:00,buy,1.17154,1.17036,1.17509,0.00079,-1.0,SL,245.14,2.45,-2.45,242.69
639,2025-09-11T16:35:00+01:00,buy,1.17197,1.17081,1.17545,0.00077,-1.0,SL,242.69,2.43,-2.43,240.26
640,2025-09-11T16:56:00+01:00,buy,1.17154,1.17052,1.17459,0.00068,3.0,TP,240.26,2.4,7.21,247.47
641,2025-09-11T16:57:00+01:00,buy,1.17157,1.17056,1.17459,0.00067,3.0,TP,247.47,2.47,7.42,254.89
642,2025-09-11T17:02:00+01:00,buy,1.17222,1.17128,1.17503,0.00062,0.0,timeout,254.89,2.55,0.0,254.89
643,2025-09-11T17:03:00+01:00,buy,1.17349,1.17247,1.17656,0.00068,-1.0,SL,254.89,2.55,-2.55,252.34
644,2025-09-11T17:05:00+01:00,buy,1.17346,1.17243,1.17654,0.00069,-1.0,SL,252.34,2.52,-2.52,249.82
645,2025-09-11T18:18:00+01:00,buy,1.17441,1.17392,1.17589,0.00033,-1.0,SL,249.82,2.5,-2.5,247.32
