time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,pnl_usd,equity_after,outcome
2025-01-02T10:20:00+00:00,sell,1.03511,1.03506,1.03541,1.03402,0.00023,4.0,0.01,3.0,1.2,21.2,TP
2025-01-02T12:30:00+00:00,sell,1.03495,1.0349,1.03512,1.03424,0.00015,4.0,0.01,3.0,1.27,22.47,TP
2025-01-02T12:50:00+00:00,sell,1.03191,1.03186,1.03244,1.03011,0.00039,4.0,0.01,0.0,0.0,22.47,BE
2025-01-07T14:42:00+00:00,sell,1.03941,1.03936,1.03976,1.03816,0.00027,4.0,0.01,3.0,1.35,23.82,TP
2025-01-08T09:00:00+00:00,sell,1.03472,1.03467,1.03492,1.03391,0.00017,4.0,0.01,3.0,1.43,25.25,TP
2025-01-08T09:30:00+00:00,sell,1.03424,1.03419,1.03446,1.03337,0.00018,4.0,0.01,3.0,1.51,26.76,TP
2025-01-08T09:50:00+00:00,sell,1.03326,1.03321,1.03352,1.03227,0.00021,4.0,0.01,3.0,1.61,28.37,TP
2025-01-08T13:15:00+00:00,sell,1.03111,1.03106,1.03135,1.03018,0.0002,4.0,0.01,3.0,1.7,30.07,TP
2025-01-08T13:35:00+00:00,sell,1.02823,1.02818,1.02883,1.02624,0.00043,4.0,0.01,0.0,0.0,30.07,BE
2025-01-09T08:05:00+00:00,sell,1.03038,1.03033,1.03047,1.02991,9e-05,4.0,0.04,3.0,1.8,31.88,TP
2025-01-09T09:42:00+00:00,sell,1.02945,1.0294,1.02972,1.02844,0.00021,4.0,0.01,3.0,1.91,33.79,TP
2025-01-09T10:02:00+00:00,sell,1.02897,1.02892,1.02924,1.02795,0.00022,4.0,0.02,0.0,0.0,33.79,BE
2025-01-10T07:49:00+00:00,sell,1.02899,1.02894,1.02904,1.02863,7e-05,4.0,0.06,3.0,2.03,35.82,TP
2025-01-10T08:49:00+00:00,sell,1.02822,1.02817,1.0283,1.02778,9e-05,4.0,0.05,-1.0,-0.72,35.1,SL
2025-01-13T06:15:00+00:00,sell,1.02156,1.02151,1.0217,1.02095,0.00013,4.0,0.03,3.0,2.11,37.21,TP
2025-01-13T06:35:00+00:00,sell,1.02107,1.02102,1.02125,1.02034,0.00015,4.0,0.03,0.0,0.0,37.21,BE
2025-01-14T14:01:00+00:00,sell,1.02522,1.02517,1.0254,1.02448,0.00015,4.0,0.03,3.0,2.23,39.44,TP
2025-01-15T07:57:00+00:00,sell,1.02949,1.02944,1.0296,1.02896,0.00011,4.0,0.04,3.0,2.37,41.81,TP
2025-01-16T07:36:00+00:00,sell,1.02829,1.02824,1.02836,1.02788,8e-05,4.0,0.06,0.0,0.0,41.81,BE
2025-01-24T10:03:00+00:00,buy,1.04628,1.04633,1.04599,1.04734,0.00022,4.0,0.02,3.0,2.51,44.31,TP
2025-01-24T10:30:00+00:00,buy,1.04893,1.04898,1.04834,1.05089,0.00042,4.0,0.01,3.0,2.66,46.97,TP
2025-01-27T13:13:00+00:00,buy,1.05168,1.05173,1.05133,1.05292,0.00026,4.0,0.02,3.0,2.82,49.79,TP
2025-01-27T14:56:00+00:00,buy,1.05252,1.05257,1.0522,1.05368,0.00025,4.0,0.02,0.0,0.0,49.79,BE
2025-01-30T15:53:00+00:00,buy,1.04289,1.04294,1.04241,1.04454,0.00036,3.0,0.01,3.0,2.99,52.78,TP
2025-02-04T06:51:00+00:00,sell,1.03068,1.03063,1.03079,1.03014,0.00011,4.0,0.06,3.0,3.17,55.95,TP
2025-02-04T07:11:00+00:00,sell,1.02731,1.02726,1.02789,1.02537,0.00042,4.0,0.01,-1.0,-1.12,54.83,SL
2025-02-13T06:01:00+00:00,buy,1.0423,1.04235,1.04215,1.04296,0.00014,4.0,0.05,3.0,3.29,58.12,TP
2025-02-13T06:36:00+00:00,buy,1.04301,1.04306,1.04286,1.04366,0.00013,4.0,0.05,3.0,3.49,61.6,TP
2025-02-13T07:11:00+00:00,buy,1.0438,1.04385,1.04365,1.04445,0.00013,4.0,0.06,-1.0,-1.23,60.37,SL
2025-02-19T07:38:00+00:00,buy,1.04525,1.0453,1.04523,1.0455,5e-05,4.0,0.17,3.0,3.62,63.99,TP
2025-02-19T08:00:00+00:00,buy,1.04562,1.04567,1.04555,1.04603,8e-05,4.0,0.1,3.0,3.84,67.83,TP
2025-03-03T08:40:00+00:00,sell,1.04104,1.04099,1.04117,1.04044,0.00012,2.0,0.07,3.0,4.07,71.9,TP
2025-03-03T09:00:00+00:00,sell,1.04071,1.04066,1.04091,1.03992,0.00016,2.0,0.05,3.0,4.31,76.22,TP
2025-03-03T09:20:00+00:00,sell,1.0403,1.04025,1.04057,1.0393,0.00021,2.0,0.04,3.0,4.57,80.79,TP
2025-03-04T09:14:00+00:00,buy,1.04914,1.04919,1.04889,1.05008,0.0002,2.0,0.05,3.0,4.85,85.64,TP
2025-03-04T09:44:00+00:00,buy,1.04958,1.04963,1.04922,1.05086,0.00027,1.0,0.04,3.0,5.14,90.78,TP
2025-03-04T10:26:00+00:00,buy,1.05114,1.05119,1.05068,1.05272,0.00034,1.0,0.03,3.0,5.45,96.22,TP
2025-03-04T13:46:00+00:00,buy,1.05262,1.05267,1.05235,1.05362,0.00021,1.0,0.06,3.0,5.77,101.99,TP
2025-03-04T14:30:00+00:00,buy,1.05528,1.05533,1.05486,1.05675,0.00032,0.0,0.04,0.0,0.0,101.99,BE
2025-03-04T14:57:00+00:00,buy,1.05538,1.05543,1.05497,1.05682,0.00031,0.0,0.04,0.0,0.0,101.99,BE
2025-03-05T07:48:00+00:00,buy,1.06251,1.06256,1.06239,1.06308,0.00012,2.0,0.11,3.0,6.12,108.11,TP
2025-03-05T08:08:00+00:00,buy,1.06353,1.06358,1.06335,1.06428,0.00016,2.0,0.09,3.0,6.49,114.6,TP
2025-03-05T09:23:00+00:00,buy,1.06397,1.06402,1.06359,1.06531,0.00029,2.0,0.05,3.0,6.88,121.48,TP
2025-03-05T09:56:00+00:00,buy,1.06717,1.06722,1.06658,1.06914,0.00043,1.0,0.03,3.0,7.29,128.77,TP
2025-03-07T08:15:00+00:00,buy,1.08149,1.08154,1.08129,1.08229,0.00017,2.0,0.1,3.0,7.73,136.49,TP
2025-03-07T08:38:00+00:00,buy,1.08206,1.08211,1.08187,1.08284,0.00016,2.0,0.11,3.0,8.19,144.68,TP
2025-03-07T09:07:00+00:00,buy,1.08278,1.08283,1.08248,1.08387,0.00023,2.0,0.08,3.0,8.68,153.36,TP
2025-03-07T09:30:00+00:00,buy,1.08329,1.08334,1.08305,1.0842,0.00019,1.0,0.1,3.0,9.2,162.56,TP
2025-03-07T10:12:00+00:00,buy,1.08354,1.08359,1.08319,1.08478,0.00027,1.0,0.08,3.0,9.75,172.32,TP
2025-03-11T15:23:00+00:00,buy,1.09196,1.09201,1.09159,1.09328,0.00028,0.0,0.08,0.0,0.0,172.32,BE
2025-03-11T15:44:00+00:00,buy,1.09291,1.09296,1.09262,1.09399,0.00023,0.0,0.1,-1.0,-3.45,168.87,SL
2025-03-14T10:23:00+00:00,buy,1.08527,1.08532,1.08495,1.08643,0.00025,1.0,0.09,3.0,10.13,179.0,TP
2025-03-14T12:41:00+00:00,buy,1.08815,1.0882,1.0876,1.08999,0.0004,1.0,0.05,3.0,10.74,189.74,TP
2025-03-18T08:49:00+00:00,buy,1.09123,1.09128,1.0911,1.09183,0.00012,2.0,0.2,3.0,11.38,201.13,TP
2025-03-18T09:35:00+00:00,buy,1.09259,1.09264,1.09238,1.09343,0.00018,1.0,0.15,3.0,12.07,213.2,TP
2025-03-18T09:58:00+00:00,buy,1.09331,1.09336,1.09304,1.09432,0.00021,1.0,0.13,3.0,12.79,225.99,TP
2025-03-21T13:50:00+00:00,buy,1.08473,1.08478,1.08449,1.08566,0.0002,1.0,0.15,3.0,13.56,239.55,TP
2025-03-26T15:19:00+00:00,sell,1.07753,1.07748,1.07789,1.07624,0.00028,8.0,0.11,0.0,0.0,239.55,BE
2025-03-28T06:07:00+00:00,sell,1.07877,1.07872,1.07886,1.0783,9e-05,11.0,0.34,3.0,14.37,253.92,TP
2025-03-31T09:01:00+00:00,sell,1.08283,1.08278,1.08305,1.08197,0.00018,8.0,0.18,3.0,15.24,269.16,TP
2025-03-31T13:11:00+00:00,sell,1.08081,1.08076,1.08103,1.07995,0.00018,8.0,0.19,0.0,0.0,269.16,BE
2025-03-31T13:43:00+00:00,sell,1.08111,1.08106,1.08131,1.08032,0.00016,11.0,0.21,3.0,16.15,285.31,TP
2025-03-31T15:48:00+00:00,sell,1.08042,1.08037,1.08065,1.07952,0.00019,11.0,0.2,3.0,17.12,302.42,TP
2025-04-03T08:21:00+00:00,buy,1.09224,1.09229,1.092,1.09316,0.00019,8.0,0.2,3.0,18.15,320.57,TP
2025-04-03T09:33:00+00:00,buy,1.09503,1.09508,1.09448,1.09688,0.0004,8.0,0.1,3.0,19.23,339.8,TP
2025-04-04T06:30:00+00:00,buy,1.10781,1.10786,1.10747,1.10903,0.00026,10.0,0.17,3.0,20.39,360.19,TP
2025-04-04T08:24:00+00:00,buy,1.1104,1.11045,1.11009,1.11153,0.00024,10.0,0.2,-1.0,-7.2,352.99,SL
2025-04-04T14:38:00+00:00,buy,1.10658,1.10663,1.10556,1.10983,0.00071,8.0,0.06,0.0,0.0,352.99,BE
2025-04-07T08:18:00+00:00,buy,1.09924,1.09929,1.09882,1.10069,0.00031,8.0,0.15,3.0,21.18,374.17,TP
2025-04-07T08:54:00+00:00,buy,1.10013,1.10018,1.09962,1.10185,0.00037,8.0,0.13,3.0,22.45,396.62,TP
2025-04-09T07:18:00+00:00,buy,1.10428,1.10433,1.10377,1.106,0.00037,8.0,0.14,3.0,23.8,420.41,TP
2025-04-09T09:53:00+00:00,buy,1.10861,1.10866,1.1078,1.11123,0.00057,8.0,0.09,-1.0,-8.41,412.01,SL
2025-04-10T15:16:00+00:00,buy,1.10946,1.10951,1.10893,1.11124,0.00039,9.0,0.14,3.0,24.72,436.73,TP
2025-04-14T09:34:00+00:00,buy,1.14139,1.14144,1.14058,1.14403,0.00058,8.0,0.1,0.0,0.0,436.73,BE
2025-04-14T09:54:00+00:00,buy,1.14228,1.14233,1.14159,1.14455,0.00049,9.0,0.11,-1.0,-8.73,427.99,SL
2025-04-16T10:29:00+00:00,buy,1.13895,1.139,1.13836,1.14092,0.00043,8.0,0.13,-1.0,-8.56,419.43,SL
2025-04-21T08:31:00+00:00,buy,1.15314,1.15319,1.15292,1.154,0.00018,8.0,0.3,3.0,25.17,444.6,TP
2025-04-22T06:00:00+00:00,buy,1.15201,1.15206,1.15176,1.15297,0.0002,8.0,0.28,3.0,26.68,471.27,TP
2025-04-22T06:41:00+00:00,buy,1.15388,1.15393,1.15352,1.15515,0.00027,8.0,0.23,0.0,0.0,471.27,BE
2025-04-22T08:28:00+00:00,buy,1.15444,1.15449,1.15409,1.1557,0.00027,8.0,0.23,-1.0,-9.43,461.85,SL
2025-05-01T06:39:00+00:00,sell,1.13001,1.12996,1.13017,1.12933,0.00014,12.0,0.43,3.0,27.71,489.56,TP
2025-05-01T08:01:00+00:00,sell,1.12982,1.12977,1.13001,1.12905,0.00016,8.0,0.4,3.0,29.37,518.93,TP
2025-05-01T08:23:00+00:00,sell,1.12942,1.12937,1.12965,1.12853,0.00019,11.0,0.37,0.0,0.0,518.93,BE
2025-05-12T10:01:00+00:00,sell,1.11955,1.1195,1.12025,1.11725,0.0005,8.0,0.13,3.0,31.14,550.07,TP
2025-05-12T10:22:00+00:00,sell,1.11444,1.11439,1.11542,1.11129,0.00069,8.0,0.1,3.0,33.0,583.07,TP
2025-05-12T13:40:00+00:00,sell,1.10809,1.10804,1.10862,1.10629,0.00039,10.0,0.2,0.0,0.0,583.07,BE
2025-05-13T13:06:00+00:00,sell,1.11039,1.11034,1.11065,1.1094,0.00021,8.0,0.37,0.0,0.0,583.07,BE
2025-05-13T13:42:00+00:00,sell,1.11022,1.11017,1.11047,1.10926,0.0002,8.0,0.38,0.0,0.0,583.07,BE
2025-05-15T14:33:00+00:00,sell,1.11873,1.11868,1.11904,1.11761,0.00024,8.0,0.32,0.0,0.0,583.07,BE
2025-05-15T14:58:00+00:00,sell,1.11819,1.11814,1.11851,1.11702,0.00025,8.0,0.31,0.0,0.0,583.07,BE
2025-05-16T12:51:00+00:00,sell,1.11972,1.11967,1.11996,1.11881,0.00019,10.0,0.4,3.0,34.98,618.06,TP
2025-05-20T10:13:00+00:00,buy,1.12685,1.1269,1.12646,1.12822,0.00029,9.0,0.28,0.0,0.0,618.06,BE
2025-05-21T06:53:00+00:00,buy,1.13358,1.13363,1.13335,1.13446,0.00019,8.0,0.44,3.0,37.08,655.14,TP
2025-05-21T09:15:00+00:00,buy,1.13446,1.13451,1.13401,1.13601,0.00033,9.0,0.26,0.0,0.0,655.14,BE
2025-05-21T13:16:00+00:00,buy,1.13453,1.13458,1.13419,1.13575,0.00026,8.0,0.33,3.0,39.31,694.45,TP
2025-05-23T07:33:00+00:00,buy,1.13142,1.13147,1.1313,1.13199,0.00012,12.0,0.79,3.0,41.67,736.12,TP
2025-05-23T08:11:00+00:00,buy,1.13194,1.13199,1.13185,1.13241,9e-05,9.0,1.05,3.0,44.17,780.28,TP
2025-05-23T08:56:00+00:00,buy,1.13244,1.13249,1.13223,1.13327,0.00017,9.0,0.6,3.0,46.82,827.1,TP
2025-05-23T10:22:00+00:00,buy,1.13345,1.1335,1.13314,1.13459,0.00024,10.0,0.45,3.0,49.63,876.73,TP
2025-05-23T13:20:00+00:00,buy,1.1357,1.13575,1.13539,1.13683,0.00024,8.0,0.48,3.0,52.6,929.33,TP
2025-06-04T10:22:00+00:00,buy,1.13889,1.13894,1.13861,1.13992,0.00022,8.0,0.56,3.0,55.76,985.09,TP
2025-06-05T13:15:00+00:00,buy,1.14262,1.14267,1.14242,1.14341,0.00017,11.0,0.79,3.0,59.11,1044.19,TP
2025-06-05T15:33:00+00:00,buy,1.14448,1.14453,1.14374,1.14691,0.00053,8.0,0.26,3.0,62.65,1106.85,TP
2025-06-12T12:49:00+00:00,buy,1.1563,1.15635,1.15599,1.15744,0.00024,8.0,0.6,3.0,66.41,1173.26,TP
2025-06-12T13:17:00+00:00,buy,1.15818,1.15823,1.15761,1.1601,0.00042,11.0,0.37,3.0,70.4,1243.65,TP
2025-06-12T13:51:00+00:00,buy,1.15963,1.15968,1.15898,1.16179,0.00047,8.0,0.35,3.0,74.62,1318.27,TP
2025-06-18T07:56:00+00:00,buy,1.15067,1.15072,1.15056,1.15121,0.00011,10.0,1.6,3.0,79.1,1397.37,TP
2025-06-18T09:01:00+00:00,buy,1.15061,1.15066,1.15042,1.15137,0.00016,10.0,1.17,3.0,83.84,1481.21,TP
2025-06-18T09:23:00+00:00,buy,1.15113,1.15118,1.15087,1.15212,0.00021,10.0,0.93,3.0,88.87,1570.08,TP
2025-06-18T10:02:00+00:00,buy,1.15166,1.15171,1.15137,1.15273,0.00023,9.0,0.92,0.0,0.0,1570.08,BE
2025-06-20T06:46:00+00:00,buy,1.15264,1.15269,1.15242,1.15349,0.00018,8.0,1.17,0.0,0.0,1570.08,BE
2025-06-24T09:17:00+00:00,buy,1.16167,1.16172,1.16128,1.16304,0.00029,8.0,0.71,0.0,0.0,1570.08,BE
2025-06-27T06:27:00+00:00,buy,1.1707,1.17075,1.17057,1.17128,0.00012,11.0,1.77,-1.0,-31.4,1538.68,SL
2025-06-27T10:00:00+00:00,buy,1.17186,1.17191,1.1715,1.17314,0.00027,8.0,0.74,0.0,0.0,1538.68,BE
2025-06-27T15:31:00+00:00,buy,1.17265,1.1727,1.17213,1.1744,0.00038,8.0,0.54,3.0,92.32,1631.0,TP
2025-06-27T15:51:00+00:00,buy,1.17375,1.1738,1.17311,1.17587,0.00046,8.0,0.46,0.0,0.0,1631.0,BE
2025-06-30T08:00:00+00:00,buy,1.17313,1.17318,1.17295,1.17386,0.00015,9.0,1.44,3.0,97.86,1728.86,TP
2025-06-30T09:44:00+00:00,buy,1.17382,1.17387,1.17353,1.1749,0.00023,9.0,1.01,3.0,103.73,1832.59,TP
2025-07-01T12:30:00+00:00,buy,1.18206,1.18211,1.1816,1.18363,0.00034,8.0,0.72,0.0,0.0,1832.59,BE
2025-07-04T12:44:00+00:00,buy,1.17815,1.1782,1.178,1.1788,0.00013,9.0,1.82,-1.0,-36.65,1795.94,SL
2025-07-08T10:00:00+00:00,buy,1.17448,1.17453,1.17422,1.17546,0.00021,8.0,1.14,3.0,107.76,1903.7,TP
2025-07-09T09:52:00+00:00,buy,1.17248,1.17253,1.17229,1.17326,0.00016,9.0,1.55,0.0,0.0,1903.7,BE
2025-07-16T14:50:00+00:00,sell,1.16074,1.16069,1.16089,1.16009,0.00013,10.0,1.89,3.0,114.22,2017.92,TP
2025-07-16T15:15:00+00:00,sell,1.15996,1.15991,1.16017,1.15912,0.00018,8.0,1.53,3.0,121.08,2138.99,TP
2025-07-16T15:56:00+00:00,sell,1.1596,1.15955,1.16007,1.15799,0.00035,8.0,0.82,3.0,128.34,2267.33,TP
2025-07-17T09:00:00+00:00,sell,1.16158,1.16153,1.16175,1.16087,0.00015,8.0,2.04,3.0,136.04,2403.37,TP
2025-07-17T09:20:00+00:00,sell,1.15943,1.15938,1.15976,1.15825,0.00025,8.0,1.27,3.0,144.2,2547.58,TP
2025-07-17T10:06:00+00:00,sell,1.15746,1.15741,1.15776,1.15635,0.00023,8.0,1.44,-1.0,-50.95,2496.62,SL
2025-07-22T12:49:00+00:00,buy,1.17006,1.17011,1.16992,1.17067,0.00012,10.0,2.68,3.0,149.8,2646.42,TP
2025-07-23T10:01:00+00:00,buy,1.17432,1.17437,1.1741,1.17518,0.00018,10.0,1.95,3.0,158.79,2805.21,TP
2025-07-24T06:05:00+00:00,buy,1.17778,1.17783,1.17767,1.17832,0.00011,8.0,3.41,-1.0,-56.1,2749.1,SL
2025-07-29T06:31:00+00:00,sell,1.15889,1.15884,1.15897,1.15845,9e-05,8.0,4.17,3.0,164.95,2914.05,TP
2025-07-29T07:11:00+00:00,sell,1.15805,1.158,1.15818,1.15746,0.00012,8.0,3.26,3.0,174.84,3088.89,TP
2025-07-29T09:30:00+00:00,sell,1.15708,1.15703,1.15735,1.15606,0.00022,9.0,1.91,3.0,185.33,3274.23,TP
2025-07-29T09:50:00+00:00,sell,1.15548,1.15543,1.15592,1.15397,0.00033,8.0,1.34,3.0,196.45,3470.68,TP
2025-07-29T10:10:00+00:00,sell,1.15279,1.15274,1.15348,1.15052,0.00049,8.0,0.93,-1.0,-69.41,3401.27,SL
2025-07-29T16:00:00+00:00,sell,1.15247,1.15242,1.1528,1.15128,0.00025,8.0,1.79,0.0,0.0,3401.27,BE
2025-07-30T09:03:00+00:00,sell,1.15446,1.15441,1.15465,1.15368,0.00016,8.0,2.78,0.0,0.0,3401.27,BE
2025-07-30T13:36:00+00:00,sell,1.15386,1.15381,1.15402,1.15318,0.00014,8.0,3.23,3.0,204.08,3605.34,TP
2025-07-30T14:08:00+00:00,sell,1.15304,1.15299,1.15327,1.15215,0.00019,8.0,2.56,3.0,216.32,3821.66,TP
2025-07-30T14:33:00+00:00,sell,1.15269,1.15264,1.15287,1.15196,0.00015,8.0,3.35,3.0,229.3,4050.96,TP
2025-07-30T15:10:00+00:00,sell,1.15244,1.15239,1.15268,1.15152,0.00019,8.0,2.8,3.0,243.06,4294.02,TP
2025-07-30T15:30:00+00:00,sell,1.15088,1.15083,1.1513,1.14941,0.00032,8.0,1.81,3.0,257.64,4551.66,TP
2025-07-30T15:56:00+00:00,sell,1.14761,1.14756,1.14821,1.1456,0.00044,8.0,1.39,0.0,0.0,4551.66,BE
2025-07-31T13:29:00+00:00,sell,1.14274,1.14269,1.14296,1.14188,0.00018,9.0,3.35,3.0,273.1,4824.76,TP
2025-08-01T12:45:00+00:00,sell,1.1399,1.13985,1.14008,1.13915,0.00016,11.0,4.13,3.0,289.49,5114.25,TP
2025-08-04T10:19:00+00:00,sell,1.15608,1.15603,1.15653,1.15453,0.00033,1.0,2.04,0.0,0.0,5114.25,BE
2025-08-07T07:03:00+00:00,buy,1.1667,1.16675,1.16658,1.16725,0.00011,11.0,6.07,3.0,306.85,5421.1,TP
2025-08-07T07:26:00+00:00,buy,1.16734,1.16739,1.16721,1.16794,0.00012,11.0,5.86,3.0,325.27,5746.37,TP
2025-08-12T07:51:00+00:00,buy,1.16254,1.16259,1.16243,1.16307,0.00011,10.0,7.19,0.0,0.0,5746.37,BE
2025-08-13T06:39:00+00:00,buy,1.16854,1.16859,1.16845,1.16901,9e-05,12.0,8.26,3.0,344.78,6091.15,TP
2025-08-13T09:38:00+00:00,buy,1.16905,1.1691,1.16883,1.16992,0.00018,11.0,4.44,3.0,365.47,6456.62,TP
2025-08-13T10:09:00+00:00,buy,1.16999,1.17004,1.16974,1.17093,0.0002,8.0,4.36,3.0,387.4,6844.01,TP
2025-08-13T12:55:00+00:00,buy,1.17293,1.17298,1.17279,1.17354,0.00012,12.0,7.32,-1.0,-136.88,6707.13,SL
2025-08-15T06:09:00+00:00,buy,1.16583,1.16588,1.16575,1.16626,8e-05,12.0,10.68,3.0,402.43,7109.56,TP
2025-08-15T06:32:00+00:00,buy,1.16618,1.16623,1.1661,1.16663,9e-05,8.0,10.77,3.0,426.57,7536.14,TP
2025-08-15T08:48:00+00:00,buy,1.16653,1.16658,1.16645,1.16697,9e-05,10.0,11.74,3.0,452.17,7988.3,TP
2025-08-15T09:33:00+00:00,buy,1.16721,1.16726,1.16705,1.1679,0.00014,11.0,7.45,3.0,479.3,8467.6,TP
2025-08-15T10:05:00+00:00,buy,1.16768,1.16773,1.1675,1.16843,0.00016,8.0,7.25,3.0,508.06,8975.66,TP
2025-08-15T15:40:00+00:00,buy,1.1696,1.16965,1.16916,1.17111,0.00033,8.0,3.67,3.0,538.54,9514.2,TP
2025-08-19T09:46:00+00:00,buy,1.16685,1.1669,1.16664,1.16769,0.00018,8.0,7.19,3.0,570.85,10085.05,TP
2025-08-19T10:06:00+00:00,buy,1.16801,1.16806,1.16774,1.16901,0.00021,8.0,6.39,-1.0,-201.7,9883.35,SL
2025-08-19T13:19:00+00:00,buy,1.16852,1.16857,1.16837,1.16916,0.00013,12.0,10.0,3.0,593.0,10476.35,TP
2025-08-20T10:20:00+00:00,buy,1.16431,1.16436,1.16404,1.16533,0.00021,8.0,6.5,3.0,628.58,11104.93,TP
2025-08-22T06:27:00+00:00,sell,1.16021,1.16016,1.1603,1.15974,9e-05,11.0,15.91,3.0,666.3,11771.23,TP
2025-08-22T06:48:00+00:00,sell,1.15914,1.15909,1.15931,1.15843,0.00015,9.0,10.75,3.0,706.27,12477.5,TP
2025-08-22T07:20:00+00:00,sell,1.15887,1.15882,1.15898,1.15833,0.00011,10.0,15.27,3.0,748.65,13226.15,TP
2025-08-25T09:06:00+00:00,buy,1.17067,1.17072,1.17049,1.1714,0.00015,9.0,11.58,3.0,793.57,14019.72,TP
2025-08-26T10:09:00+00:00,sell,1.1613,1.16125,1.16168,1.15995,0.00029,8.0,6.47,0.0,0.0,14019.72,BE
2025-08-28T07:03:00+00:00,sell,1.1641,1.16405,1.16418,1.16365,9e-05,12.0,21.0,3.0,841.18,14860.9,TP
2025-09-01T06:01:00+00:00,buy,1.17134,1.17139,1.17119,1.17198,0.00013,11.0,15.2,-1.0,-297.22,14563.68,SL
2025-09-01T09:30:00+00:00,buy,1.17233,1.17238,1.17215,1.17307,0.00015,11.0,12.75,3.0,873.82,15437.51,TP
2025-09-03T07:02:00+00:00,sell,1.16219,1.16214,1.16225,1.16181,7e-05,10.0,27.82,-1.0,-308.75,15128.76,SL
2025-09-03T10:16:00+00:00,sell,1.16255,1.1625,1.16277,1.16168,0.00018,9.0,11.06,3.0,907.73,16036.48,TP
2025-09-05T13:24:00+00:00,buy,1.16929,1.16934,1.16914,1.16995,0.00014,1.0,15.8,3.0,962.19,16998.67,TP
2025-09-05T13:49:00+00:00,buy,1.16962,1.16967,1.16948,1.17025,0.00013,1.0,17.64,3.0,1019.92,18018.59,TP
2025-09-05T15:08:00+00:00,buy,1.16994,1.16999,1.1696,1.17117,0.00026,0.0,9.18,3.0,1081.12,19099.7,TP
2025-09-08T08:20:00+00:00,buy,1.17185,1.1719,1.17171,1.17246,0.00012,2.0,20.59,3.0,1145.98,20245.69,TP
2025-09-08T10:02:00+00:00,buy,1.17287,1.17292,1.17258,1.17395,0.00023,1.0,11.81,3.0,1214.74,21460.43,TP
2025-09-09T08:53:00+00:00,buy,1.17779,1.17784,1.17764,1.17845,0.00014,2.0,21.1,-1.0,-429.21,21031.22,SL
2025-09-10T07:16:00+00:00,buy,1.17108,1.17113,1.17099,1.17154,9e-05,2.0,30.54,3.0,1261.87,22293.09,TP
2025-09-10T07:58:00+00:00,buy,1.17143,1.17148,1.17133,1.17192,0.0001,2.0,30.51,0.0,0.0,22293.09,BE
2025-09-11T15:31:00+00:00,buy,1.17138,1.17143,1.17026,1.17493,0.00078,0.0,3.82,0.0,0.0,22293.09,BE
2025-09-11T15:56:00+00:00,buy,1.17154,1.17159,1.17057,1.17464,0.00068,0.0,4.38,0.0,0.0,22293.09,BE
